AnnotatorID,NumTweetsAnnotated,NumAnnotations,HateSpeech_Count,Offensive_Count,Neutral_Count,Ethnicity,Age,Education,Party,EnglishFirst
163,50,50,30,6,14,White,93.0,4.0,1.0,1.0
164,50,50,13,16,21,Sth else,42.0,3.0,2.0,1.0
165,50,50,9,20,21,White,22.0,3.0,2.0,1.0
166,50,50,15,18,17,White,55.0,4.0,2.0,1.0
167,50,50,13,24,13,Afr american,31.0,4.0,1.0,1.0
168,50,50,1,26,23,White,31.0,4.0,2.0,1.0
169,50,50,18,14,18,White,57.0,2.0,2.0,1.0
170,50,50,12,18,20,White,31.0,4.0,2.0,1.0
171,50,50,10,13,27,White,37.0,3.0,2.0,1.0
172,50,50,15,12,23,White,40.0,5.0,2.0,1.0
173,50,50,14,15,21,White,45.0,4.0,1.0,1.0
174,50,50,18,19,13,White,55.0,5.0,3.0,1.0
175,50,50,6,23,21,White,59.0,3.0,3.0,1.0
176,50,50,11,22,17,Hispanic,25.0,2.0,1.0,1.0
177,50,50,17,17,16,Afr american,56.0,5.0,3.0,2.0
178,50,50,18,14,18,Asian,26.0,2.0,2.0,1.0
179,50,50,14,20,16,White,64.0,4.0,1.0,1.0
180,50,50,1,31,18,White,31.0,4.0,2.0,1.0
181,50,50,14,22,14,White,39.0,4.0,2.0,1.0
182,50,50,4,28,18,White,38.0,4.0,3.0,1.0
183,50,50,13,23,14,White,31.0,4.0,2.0,1.0
184,50,50,19,13,18,White,33.0,1.0,2.0,1.0
185,50,50,9,17,24,White,63.0,5.0,3.0,1.0
186,50,50,11,21,18,White,31.0,3.0,3.0,1.0
187,50,50,5,24,21,Asian,51.0,4.0,3.0,2.0
188,50,50,2,6,42,White,61.0,4.0,1.0,1.0
189,50,50,15,23,12,White,43.0,3.0,2.0,1.0
190,50,50,14,16,20,White,52.0,4.0,3.0,1.0
191,50,50,22,11,17,White,29.0,4.0,3.0,1.0
192,50,50,9,13,28,White,21.0,4.0,1.0,1.0
193,50,50,18,18,14,White,29.0,3.0,3.0,1.0
194,50,50,32,0,18,Hispanic,23.0,4.0,3.0,1.0
195,7,7,0,1,6,Prefer not to say,,,,
196,50,50,18,2,30,White,58.0,4.0,1.0,1.0
197,50,50,19,10,21,White,71.0,5.0,3.0,1.0
198,50,50,8,24,18,White,54.0,4.0,1.0,1.0
199,50,50,12,21,17,White,36.0,4.0,2.0,1.0
200,50,50,9,15,26,Asian,30.0,4.0,3.0,1.0
201,50,50,27,1,22,White,54.0,5.0,1.0,1.0
202,50,50,11,14,25,White,23.0,4.0,2.0,1.0
203,50,50,11,18,21,White,33.0,4.0,2.0,1.0
204,50,50,12,12,26,White,30.0,5.0,1.0,1.0
205,50,50,33,0,17,White,19.0,3.0,2.0,1.0
206,50,50,7,5,38,Asian,31.0,4.0,3.0,1.0
207,50,50,8,18,24,White,38.0,4.0,3.0,1.0
208,50,50,21,16,13,Asian,35.0,6.0,1.0,1.0
209,50,50,23,14,13,White,51.0,3.0,1.0,1.0
210,50,50,8,23,19,White,36.0,4.0,2.0,1.0
211,50,50,5,27,18,White,48.0,3.0,3.0,1.0
